Determiner	Clothing	Covers
a	tight dress	torso, arms, legs
a	tight shirt and slacks	torso, arms, legs
	tight white trousers	legs
a	tight-fitting T-shirt	torso, arms
a	tiny dress	torso, arms, legs
a	toga	torso, arms, legs
a	top hat	head
a	torn frock coat	torso, arms
a	torn T-shirt	torso, arms
a	tramp suit	torso, arms, legs
a	trench coat	torso, arms
a	tricorn hat	head
a	Trilby	head
	trumpet ears	ears
a	turncoat	torso, arms
a	tuxedo	torso, arms, legs
a	tuxedo and high-collared cape	torso, arms, legs, back
a	tweed jacket	torso, arms
a	tweed overcoat	torso, arms
a	tweed skirt	legs, waist
a	tweed suit	torso, arms, legs
a	tweed Trilby	head
	tweeds	torso, arms, legs
	ultra-skinny jeans with no shirt	torso, arms, legs
a	varsity jacket	torso, arms
a	velvet jacket	torso, arms
a	velvet suit	torso, arms, legs
a	vest and tie	torso, neck
a	Victorian nightgown	torso, arms, legs
a	Virgin T-shirt	torso, arms
a	vomit-soaked shirt	torso, arms
a	wacky haircut	head
a	waistcoat	torso
a	waxed moustache	lip
	weird glasses	eyes
	white face makeup	face
a	white habit	torso, arms, legs
a	white lab coat	torso, arms
a	white robe	torso, arms, legs
a	white rubber mask	face
a	white satin dress	torso, arms, legs
a	white satin evening gown	torso, arms, legs
a	white seersucker suit	torso, arms, legs
a	white stripe	back
a	white suit	torso, arms, legs
a	white T-shirt	torso, arms
a	white tea towel	head
a	white turban	head
a	white tuxedo	torso, arms, legs
a	white Versace blazer	torso, arms
a	white zucchetto	torso, arms, legs
a	white-and-purple striped tunic	torso, arms
a	wide black cloak	back
a	wide collar	neck
a	wide-brimmed Fedora	head
a	wife-beater shirt	torso
a	wild cravat	neck
a	wing collar	neck
a	woman's frock	torso, arms, legs
a	wool jerkin	torso, arms
	workout sweats	torso, arms, legs
	XXXL Shorts and stretchy T-shirt	torso, arms, legs
a	yamulke	head
	yellow feathers	torso, arms, legs
a	yellow vest	torso
a	zoot suit	torso, arms, legs
an	anti-demon tattoo	chest
a	Carhartt Jacket	torso, arms
	shaggy brown hair	head
a	lumberjack shirt	torso, arms
a	humble robe	torso, arms, legs
	sandals	feet
	cloven hooves	feet
	horns	head
a	red cape	back
an	aqua blue hat with yellow puffball on top	head
	yellow gloves	hands
a	red jacket	torso, arms
